index,cluster
17017,9
29411,14
17353,9
11702,9
16224,9
41503,14
61771,19
484,9
39400,14
61334,19
40944,14
19170,9
36316,14
1097,9
56660,19
7201,9
65495,19
33664,14
41663,14
44495,19
56911,19
35890,14
53342,19
67343,19
63035,19
39398,14
61365,19
64850,19
11645,9
59587,19
66776,19
14061,9
65955,19
66143,19
22583,14
40176,14
43524,19
59313,19
59086,19
58892,19
32495,14
5579,9
2731,9
67713,19
18401,9
5946,9
16541,9
62343,19
19898,9
3702,9
45333,19
8361,9
62053,19
45119,19
50805,19
3787,9
31418,14
45123,19
26625,14
49405,19
37723,14
32003,14
53719,19
5740,9
19717,9
63181,19
1916,9
54915,19
62657,19
47786,19
20727,9
22124,14
2399,9
38439,14
36560,14
7010,9
20602,9
24957,14
39484,14
56923,19
47066,19
38932,14
10153,9
49671,19
8832,9
32595,14
67347,19
39277,14
1696,9
35721,14
54894,19
56432,19
31265,14
21111,9
19860,9
37248,14
28407,14
66038,19
53296,19
43164,14
63750,19
28449,14
22596,14
33042,14
59840,19
33323,14
12959,9
46590,14
39254,14
58329,19
34945,14
62696,19
5803,9
66136,19
52079,19
21671,9
42297,14
61710,19
35483,14
35898,14
23444,14
65314,19
33429,14
11387,9
19245,9
50478,19
31161,14
47488,19
34988,14
19264,9
8525,9
22370,9
62307,19
16271,9
26039,14
39167,14
57928,19
43345,19
902,9
25581,14
67499,19
3284,9
8231,9
58376,19
54477,19
11082,9
10562,9
2493,9
31720,14
9544,9
26900,14
64271,19
16355,9
52205,19
51852,14
18094,9
37150,14
22206,14
16408,9
60792,19
28116,14
30176,14
20397,9
19695,9
53833,19
49529,19
16431,9
19274,9
43538,14
58304,19
8564,9
32531,14
67694,19
34249,14
10289,9
17987,9
63317,19
44960,19
21846,14
1842,9
33601,14
5564,9
29497,14
8395,9
56673,19
36260,14
49959,19
3757,9
14948,9
49951,19
8907,9
21356,14
61975,19
17567,9
1786,9
22853,14
67420,19
27512,14
47572,19
24434,14
65317,19
7281,9
35463,14
13752,9
44647,19
39045,14
51957,19
58555,19
47770,19
45196,19
51941,19
35431,14
67825,19
12743,9
26588,14
61973,19
43863,14
9069,9
15880,9
38329,14
4615,9
50352,19
4812,9
38947,14
64930,19
53712,19
60851,19
31763,14
13109,9
46238,19
54618,19
43249,19
6648,9
17403,9
65918,19
38470,14
65169,19
31853,14
57161,19
19645,9
1034,9
24321,14
18138,9
53229,19
24953,14
53005,19
33747,14
41955,14
21659,9
4657,9
16883,9
40886,14
63744,19
50501,19
2616,9
41952,14
7285,9
61708,19
51279,19
8873,9
58626,19
18818,9
25243,14
24758,14
2132,9
31402,14
33004,14
14183,9
32585,14
64745,19
50195,19
1931,9
65952,19
52139,19
9937,9
26818,14
31121,14
28951,14
45751,19
54926,19
53996,19
21273,9
30674,14
52209,19
30913,14
12475,9
56836,19
49414,19
39769,14
22536,9
22109,9
47670,19
3186,9
54485,19
19501,9
31330,14
25786,14
7168,9
625,9
24179,14
53655,19
49939,19
61640,19
36574,14
5841,9
60149,19
32858,14
10206,9
42251,19
12543,9
49555,19
59696,19
23295,14
45040,19
29574,14
33900,14
18766,9
25164,14
60877,19
2730,9
61926,19
52861,19
16655,9
8193,9
57368,19
48663,14
22325,9
17155,9
44744,14
14097,9
48073,19
38530,14
124,9
31702,14
41767,14
27001,14
45141,14
41367,14
36663,14
1033,9
30664,14
54430,19
25635,14
1380,9
35792,14
45112,19
15564,9
50186,19
56066,19
39610,14
45998,19
46283,19
12319,9
6424,9
48298,19
63057,19
33923,14
58742,19
33325,14
19263,9
6196,9
30392,14
24203,14
25870,14
10838,9
22464,9
29547,14
2885,9
58713,19
51522,19
44099,14
53230,19
43313,19
62546,19
21808,9
18519,9
40629,14
12110,9
39652,14
46958,19
46640,19
41608,14
34380,14
7519,9
