index,cluster
17017,0
29411,21
17353,29
11702,29
16224,21
41503,1
61771,24
484,29
39400,25
61334,24
40944,13
19170,21
36316,9
1097,29
56660,3
7201,0
65495,20
33664,21
41663,9
44495,9
56911,23
35890,4
53342,3
67343,24
63035,1
39398,25
61365,23
64850,1
11645,2
59587,20
66776,25
14061,2
65955,26
66143,1
22583,27
40176,1
43524,21
59313,1
59086,3
58892,9
32495,21
5579,29
2731,29
67713,26
18401,21
5946,27
16541,2
62343,24
19898,2
3702,29
45333,25
8361,29
62053,25
45119,9
50805,24
3787,27
31418,13
45123,9
26625,2
49405,23
37723,13
32003,10
53719,24
5740,2
19717,0
63181,25
1916,27
54915,3
62657,24
47786,23
20727,9
22124,0
2399,0
38439,10
36560,20
7010,3
20602,29
24957,21
39484,10
56923,3
47066,1
38932,1
10153,27
49671,20
8832,29
32595,21
67347,24
39277,3
1696,27
35721,13
54894,23
56432,25
31265,21
21111,3
19860,27
37248,13
28407,13
66038,1
53296,23
43164,24
63750,9
28449,29
22596,10
33042,13
59840,23
33323,10
12959,27
46590,3
39254,21
58329,23
34945,10
62696,26
5803,29
66136,1
52079,20
21671,29
42297,1
61710,26
35483,10
35898,4
23444,21
65314,25
33429,21
11387,2
19245,3
50478,23
31161,1
47488,1
34988,9
19264,3
8525,27
22370,10
62307,23
16271,27
26039,21
39167,13
57928,1
43345,9
902,27
25581,2
67499,24
3284,27
8231,3
58376,1
54477,26
11082,15
10562,15
2493,29
31720,2
9544,29
26900,29
64271,20
16355,27
52205,25
51852,3
18094,21
37150,21
22206,0
16408,29
60792,26
28116,13
30176,21
20397,29
19695,21
53833,23
49529,10
16431,10
19274,29
43538,3
58304,26
8564,2
32531,2
67694,26
34249,13
10289,27
17987,27
63317,24
44960,1
21846,21
1842,29
33601,10
5564,27
29497,0
8395,0
56673,10
36260,13
49959,3
3757,27
14948,21
49951,20
8907,0
21356,21
61975,26
17567,21
1786,29
22853,27
67420,25
27512,21
47572,9
24434,0
65317,10
7281,29
35463,1
13752,2
44647,9
39045,21
51957,25
58555,26
47770,1
45196,9
51941,25
35431,9
67825,24
12743,29
26588,0
61973,26
43863,26
9069,10
15880,2
38329,25
4615,29
