index,cluster
17017,21
29411,21
17353,3
11702,3
16224,21
41503,21
61771,21
484,3
39400,3
61334,21
40944,21
19170,21
36316,21
1097,3
56660,3
7201,21
65495,3
33664,21
41663,21
44495,21
56911,3
35890,3
53342,3
67343,12
63035,21
39398,3
61365,3
64850,12
11645,4
59587,3
66776,3
14061,3
65955,3
66143,21
22583,21
40176,21
43524,21
59313,21
59086,3
58892,21
32495,21
5579,3
2731,3
67713,4
18401,21
5946,21
16541,28
62343,21
19898,3
3702,3
45333,3
8361,3
62053,3
45119,21
50805,21
3787,21
31418,8
45123,21
26625,3
49405,3
37723,21
32003,3
53719,21
5740,3
19717,21
63181,3
1916,21
54915,3
62657,21
47786,3
20727,8
22124,21
2399,21
38439,3
36560,3
7010,3
20602,3
24957,21
39484,3
56923,3
47066,21
38932,6
10153,17
49671,3
8832,3
32595,21
67347,21
39277,3
1696,21
35721,21
54894,3
56432,28
31265,21
21111,3
19860,21
37248,21
28407,21
66038,7
53296,3
43164,21
63750,21
28449,3
22596,4
33042,21
59840,3
33323,10
12959,6
46590,3
39254,21
58329,3
34945,3
62696,3
5803,3
66136,12
52079,3
21671,3
42297,21
61710,28
35483,3
35898,3
23444,21
65314,28
33429,21
11387,28
19245,3
50478,3
31161,21
47488,21
34988,21
19264,3
8525,17
22370,3
62307,3
16271,21
26039,21
39167,21
57928,21
43345,21
902,21
25581,12
67499,21
3284,21
8231,3
58376,21
54477,3
11082,3
10562,3
2493,3
31720,3
9544,3
26900,3
64271,3
16355,21
52205,3
51852,3
18094,21
37150,21
22206,21
16408,3
60792,3
28116,21
30176,21
20397,3
19695,21
53833,3
49529,3
16431,3
19274,3
43538,3
58304,18
8564,3
32531,3
67694,3
34249,21
10289,21
17987,7
63317,21
44960,6
21846,21
1842,3
33601,3
5564,21
29497,21
8395,21
56673,3
36260,21
49959,3
3757,21
14948,21
49951,3
8907,21
21356,21
61975,3
17567,21
1786,3
22853,21
67420,3
27512,21
47572,21
24434,21
65317,3
7281,3
35463,21
13752,28
44647,21
39045,21
51957,3
58555,4
47770,21
45196,21
51941,3
35431,21
67825,21
12743,3
26588,21
61973,18
43863,26
9069,3
15880,3
38329,3
4615,3
50352,3
4812,3
38947,3
64930,3
53712,21
60851,21
31763,21
13109,21
46238,21
54618,3
43249,21
6648,3
17403,21
65918,3
38470,3
65169,21
31853,21
57161,28
19645,17
1034,12
24321,3
18138,3
53229,3
24953,21
53005,3
33747,3
41955,21
21659,3
4657,3
16883,21
40886,3
63744,21
50501,3
2616,21
41952,3
7285,28
61708,3
51279,3
8873,3
58626,21
18818,3
25243,21
24758,10
2132,21
31402,21
33004,3
14183,21
32585,21
64745,21
50195,0
1931,28
65952,3
52139,21
9937,21
26818,21
31121,3
28951,21
45751,28
54926,3
53996,21
21273,3
30674,3
52209,3
