index,cluster
17017,9
29411,9
17353,9
11702,9
16224,9
41503,14
61771,19
484,9
39400,14
61334,19
40944,14
19170,9
36316,14
1097,9
56660,14
7201,9
65495,19
33664,14
41663,14
44495,14
56911,19
35890,9
53342,14
67343,19
63035,19
39398,14
61365,19
64850,19
11645,9
59587,19
66776,19
14061,9
65955,19
66143,19
22583,9
40176,14
43524,14
59313,19
59086,19
58892,19
32495,14
5579,9
2731,9
67713,19
18401,9
5946,9
16541,9
62343,19
19898,9
3702,9
45333,14
8361,9
62053,19
45119,14
50805,19
3787,9
31418,9
45123,14
26625,9
49405,14
37723,14
32003,9
53719,19
5740,9
19717,9
63181,19
1916,9
54915,14
62657,19
47786,14
20727,9
22124,9
2399,9
38439,14
36560,14
7010,9
20602,9
24957,9
39484,14
56923,19
47066,14
38932,14
10153,9
49671,14
8832,9
32595,14
67347,19
39277,14
1696,9
35721,14
54894,19
56432,19
31265,14
21111,9
19860,9
37248,14
28407,9
66038,19
53296,14
43164,14
63750,19
28449,9
22596,9
33042,14
59840,19
33323,14
12959,9
46590,14
39254,14
58329,19
34945,14
62696,19
5803,9
66136,19
52079,14
21671,9
42297,14
61710,19
35483,14
35898,9
23444,9
65314,19
33429,14
11387,9
19245,9
50478,14
31161,9
47488,14
34988,14
19264,9
8525,9
22370,9
62307,19
16271,9
26039,9
39167,14
57928,19
43345,14
902,9
25581,9
67499,19
3284,9
8231,9
58376,19
54477,19
11082,9
10562,9
2493,9
31720,9
9544,9
26900,9
64271,19
16355,9
52205,14
51852,14
18094,9
37150,14
22206,9
16408,9
60792,19
28116,9
30176,9
20397,9
19695,9
53833,14
49529,14
16431,9
19274,9
43538,14
58304,19
8564,9
32531,9
67694,19
34249,14
10289,9
17987,9
63317,19
44960,14
21846,9
1842,9
33601,14
5564,9
29497,9
8395,9
56673,19
36260,14
49959,14
3757,9
14948,9
49951,14
8907,9
21356,9
61975,19
17567,9
1786,9
22853,9
67420,19
27512,9
47572,14
24434,9
65317,19
7281,9
35463,14
13752,9
44647,14
39045,14
51957,19
58555,19
47770,14
45196,14
51941,14
35431,14
67825,19
12743,9
26588,9
61973,19
43863,14
9069,9
15880,9
38329,14
4615,9
50352,14
4812,9
38947,14
64930,19
53712,19
60851,19
31763,14
13109,9
46238,14
54618,19
43249,14
6648,9
17403,9
65918,19
38470,14
65169,19
31853,9
57161,19
19645,9
1034,9
24321,9
18138,9
53229,19
24953,9
53005,19
33747,9
41955,14
21659,9
4657,9
16883,9
40886,14
63744,19
50501,14
2616,9
41952,14
7285,9
61708,19
51279,14
8873,9
58626,19
18818,9
25243,9
24758,9
2132,9
31402,9
33004,9
14183,9
32585,14
64745,19
50195,14
1931,9
65952,19
52139,19
9937,9
26818,9
31121,9
28951,9
45751,14
54926,14
53996,19
21273,9
30674,9
52209,19
30913,9
12475,9
56836,19
49414,14
39769,14
22536,9
22109,9
47670,14
3186,9
54485,19
19501,9
31330,9
25786,9
7168,9
625,9
24179,9
53655,19
49939,14
61640,19
36574,14
5841,9
60149,19
32858,14
10206,9
42251,14
12543,9
49555,14
59696,19
23295,9
45040,14
29574,9
33900,14
18766,9
25164,9
60877,19
2730,9
61926,19
52861,14
16655,9
8193,9
57368,19
48663,14
22325,9
17155,9
44744,14
14097,9
48073,14
38530,14
124,9
31702,9
41767,14
27001,9
45141,14
41367,14
36663,14
1033,9
30664,9
54430,19
25635,9
1380,9
35792,14
45112,14
15564,9
50186,14
56066,19
39610,14
45998,14
46283,14
12319,9
6424,9
48298,14
63057,19
33923,14
58742,19
33325,14
19263,9
6196,9
30392,9
24203,9
25870,9
10838,9
22464,9
29547,9
2885,9
58713,19
51522,14
44099,14
53230,19
43313,14
62546,19
21808,9
18519,9
40629,14
12110,9
39652,14
46958,14
46640,14
41608,14
34380,14
7519,9
55669,19
29259,9
39301,14
58384,19
30872,9
38316,14
46377,14
41236,14
28566,9
31964,14
27536,9
15207,9
58925,14
50734,14
58398,19
53392,19
6016,9
34665,14
39000,14
12593,9
65548,19
54764,19
56472,19
67218,19
9128,9
26566,9
49766,19
5994,9
35648,14
29686,9
53642,19
56384,19
66175,19
58753,19
30865,9
7029,9
48739,14
15815,9
46957,14
55923,19
34966,14
27520,9
18999,9
50096,14
33852,14
33955,14
66822,19
42106,14
60836,19
39946,14
66983,19
58137,19
54347,19
53906,19
56289,19
31995,9
24093,9
16172,9
62662,19
28773,9
32884,14
11813,9
35883,9
35601,14
4229,9
22346,9
7743,9
15145,9
58787,19
24165,9
38511,14
49525,14
22087,9
16339,9
2757,9
29994,9
40980,14
30687,9
20072,9
41592,14
23787,9
57681,19
34793,14
14896,9
58811,19
33634,14
30507,9
58699,19
40613,14
26043,9
34053,14
26482,9
40319,14
66763,19
9626,9
47524,14
18478,9
50602,19
6034,9
17180,9
12457,9
38094,14
25584,9
59877,19
50918,14
56818,19
18479,9
47597,14
4801,9
57678,19
36162,9
36778,14
61793,19
66294,19
31502,14
34182,14
44251,14
35348,9
88,9
65605,19
25400,9
9842,9
31767,14
41083,14
67553,19
15039,9
19809,9
16657,9
54825,19
24847,9
65756,19
55074,19
39150,14
47192,14
9932,9
45864,14
39031,14
54281,19
46291,14
27229,9
14054,9
7161,9
6348,9
62678,19
26182,9
8506,9
43760,14
61039,19
23976,9
34589,14
39231,14
128,9
5662,9
45285,14
7748,9
62900,19
39066,14
7318,9
7615,9
67305,19
28877,9
8445,9
30821,9
42258,14
42390,14
39953,14
30613,9
40189,14
49943,14
51304,14
64773,19
48369,14
21633,9
30547,9
5982,9
38246,14
9661,9
39824,14
19382,9
38296,14
64016,19
6430,9
1162,9
29988,9
17902,9
21828,9
8341,9
36752,14
28838,9
48970,14
61660,19
62029,19
23272,9
8063,9
8454,9
60925,19
25199,9
564,9
33815,14
26575,9
18938,9
10029,9
17825,9
34035,9
9639,9
21347,9
50218,14
17554,9
51025,14
49034,14
20870,9
54811,19
63263,19
14644,9
59460,19
63323,19
16422,9
40759,14
34156,14
50751,14
42164,14
27997,9
27715,9
54583,19
58385,19
39473,14
9841,9
48294,14
44742,14
49288,14
62182,19
12248,9
5491,9
12635,9
5047,9
47119,14
33994,14
8740,9
51523,14
13216,9
13352,9
61950,19
50268,14
27965,9
65592,19
43706,14
4869,9
46941,14
20401,9
27023,9
41165,14
30882,9
28654,9
50382,14
68140,19
64760,19
26344,9
1213,9
280,9
47867,14
6148,9
44708,14
26294,9
15644,9
38388,14
42925,14
6948,9
49399,14
14069,9
34358,14
14117,9
9731,9
44430,14
37053,14
15241,9
61198,19
48498,14
49207,14
47189,14
60572,19
54260,19
37357,14
12899,9
39320,14
21339,9
40043,14
5130,9
38567,14
24706,9
39665,14
8363,9
2691,9
54578,19
41309,14
31043,9
48112,14
63429,19
44503,14
46014,14
267,9
65966,19
52901,14
1836,9
60582,19
17758,9
21758,9
46373,14
28895,9
47834,14
23602,9
17761,9
50864,19
7110,9
55624,19
28995,9
58217,19
1285,9
54741,19
22088,9
7677,9
16329,9
31963,9
60951,19
35174,14
18713,9
51211,14
30599,9
31064,9
37312,14
33778,14
41221,14
4884,9
8018,9
37205,14
58073,19
16816,9
43402,14
44312,14
23273,9
55522,14
8425,9
32732,9
34921,14
28935,9
62169,19
24679,9
57805,19
3288,9
64597,19
64249,19
31690,9
54548,19
23520,9
12387,9
61411,19
47726,14
27789,9
27267,9
21279,9
65647,19
9817,9
15811,9
35387,14
47876,14
7355,9
52840,19
26112,9
19723,9
28181,9
54720,19
64308,19
47563,19
23720,9
6465,9
18779,9
22154,9
63637,19
44196,14
26310,9
54835,19
52478,19
48776,14
67812,19
36592,14
46465,14
842,9
67382,19
18035,9
19736,9
62779,19
21254,9
45762,14
49266,14
16751,9
42787,14
52424,19
9396,9
36714,14
49417,14
56243,14
45209,14
25819,9
18536,9
60213,19
42731,14
30417,9
56317,19
24963,9
5897,9
11791,9
45045,14
4442,9
61301,19
59829,19
21081,9
54234,19
57069,19
34110,14
21430,9
22719,9
52084,14
27533,9
63549,19
32946,9
27173,9
8441,9
158,9
11192,9
5907,9
57135,19
53293,14
63520,19
62641,19
55838,19
14672,9
37314,14
55729,19
8633,9
39295,14
13373,9
21393,9
62461,19
26266,9
21351,9
62699,19
42252,14
8309,9
44520,14
65240,19
56367,19
43945,14
2359,9
16617,9
56557,19
2008,9
44090,14
34876,14
30491,9
6247,9
22815,9
26786,9
37558,14
1870,9
33773,14
32178,9
21538,9
45664,14
26725,9
35642,14
10417,9
2255,9
49838,14
65459,19
8581,9
41194,14
38840,14
39575,14
4346,9
1219,9
14599,9
19828,9
30490,9
15382,9
64976,19
1824,9
22802,9
12597,9
52351,14
18718,9
31208,9
30242,9
45739,14
9195,9
212,9
61704,19
14603,9
4751,9
35527,14
58215,19
26256,9
66285,19
45425,14
37318,14
24171,9
66002,19
63226,19
49066,14
44737,14
29078,9
41709,14
7890,9
43767,14
16338,9
19469,9
14766,9
40361,14
67151,19
48492,14
62530,19
22238,9
53456,19
36149,9
64928,19
18465,9
1221,9
3452,9
37092,14
67688,19
56589,19
62874,19
21298,9
25214,9
35088,9
27438,9
27871,9
60707,19
45544,14
30619,9
26743,9
15179,9
30829,9
3946,9
13826,9
31473,9
16675,9
890,9
31878,9
31442,9
40295,14
38074,14
53558,14
12153,9
18988,9
56636,19
27908,9
48448,14
30559,9
7627,9
34125,14
27828,9
2225,9
17963,9
27368,9
29905,9
45873,14
2527,9
8501,9
60191,19
18566,9
19616,9
