index,cluster
17017,17
29411,17
17353,19
11702,19
16224,17
41503,27
61771,27
484,2
39400,19
61334,27
40944,7
19170,17
36316,25
1097,2
56660,2
7201,7
65495,19
33664,17
41663,17
44495,27
56911,2
35890,21
53342,2
67343,13
63035,13
39398,19
61365,19
64850,13
11645,19
59587,2
66776,19
14061,2
65955,1
66143,13
22583,7
40176,13
43524,17
59313,13
59086,2
58892,27
32495,17
5579,19
2731,19
67713,1
18401,17
5946,29
16541,29
62343,13
19898,29
3702,2
45333,19
8361,19
62053,19
45119,27
50805,27
3787,7
31418,25
45123,17
26625,29
49405,2
37723,7
32003,2
53719,27
5740,19
19717,7
63181,19
1916,7
54915,2
62657,13
47786,2
20727,6
22124,17
2399,17
38439,19
36560,1
7010,2
20602,19
24957,17
39484,19
56923,19
47066,13
38932,25
10153,29
49671,2
8832,1
32595,17
67347,27
39277,2
1696,7
35721,25
54894,19
56432,29
31265,17
21111,2
19860,7
37248,7
28407,7
66038,13
53296,19
43164,27
63750,27
28449,19
22596,29
33042,17
59840,19
33323,29
12959,29
46590,2
39254,17
58329,2
34945,19
62696,1
5803,2
66136,13
52079,2
21671,19
42297,13
61710,19
35483,19
35898,21
23444,17
65314,1
33429,17
11387,29
19245,2
50478,2
31161,25
47488,27
34988,25
19264,2
8525,29
22370,1
62307,19
16271,29
26039,17
39167,25
57928,25
43345,17
902,7
25581,29
67499,13
3284,7
8231,2
58376,13
54477,19
11082,1
10562,2
2493,2
31720,19
9544,2
26900,19
64271,19
16355,29
52205,2
51852,2
18094,17
37150,17
22206,7
16408,19
60792,29
28116,7
30176,17
20397,19
19695,17
53833,19
49529,29
16431,19
19274,2
43538,1
58304,1
8564,23
32531,29
67694,1
34249,7
10289,29
17987,29
63317,27
44960,13
21846,17
1842,19
33601,19
5564,1
29497,7
8395,7
56673,2
36260,25
49959,2
3757,29
14948,17
49951,1
8907,7
21356,17
61975,1
17567,17
1786,19
22853,7
67420,29
27512,17
47572,27
24434,7
65317,29
7281,19
35463,25
13752,29
44647,25
39045,17
51957,19
58555,1
47770,13
45196,27
51941,19
35431,17
67825,27
12743,19
26588,17
61973,29
43863,1
9069,19
15880,19
38329,19
4615,19
50352,19
4812,19
38947,19
64930,19
53712,27
60851,27
31763,17
13109,17
46238,25
54618,19
43249,17
6648,19
17403,29
65918,2
38470,1
65169,13
31853,7
57161,1
19645,23
1034,29
24321,19
18138,19
53229,19
24953,7
53005,2
33747,21
41955,27
21659,2
4657,2
16883,7
40886,1
63744,27
50501,2
2616,7
41952,1
7285,23
61708,19
51279,2
8873,19
58626,27
18818,29
25243,7
24758,1
2132,7
31402,17
33004,19
14183,17
32585,17
64745,13
50195,1
1931,23
65952,1
52139,27
9937,7
26818,7
31121,19
28951,7
45751,1
54926,2
53996,27
21273,2
30674,19
52209,19
30913,29
12475,19
56836,1
49414,2
39769,19
22536,19
22109,7
47670,17
3186,19
54485,13
19501,19
31330,1
25786,7
7168,17
625,2
24179,19
53655,1
49939,2
61640,2
36574,25
5841,2
60149,27
32858,17
10206,17
42251,17
12543,17
49555,19
59696,29
23295,7
45040,25
29574,29
33900,19
18766,2
25164,7
60877,27
2730,2
61926,19
52861,1
16655,19
8193,29
57368,1
48663,2
22325,19
17155,7
44744,2
14097,17
48073,13
38530,7
124,7
31702,29
41767,13
27001,17
45141,1
41367,19
36663,7
1033,7
30664,2
54430,1
25635,17
1380,2
35792,25
45112,25
15564,29
50186,13
56066,1
39610,7
45998,27
46283,19
12319,17
6424,7
48298,19
63057,27
33923,7
58742,19
33325,7
19263,2
6196,23
30392,19
24203,29
25870,7
10838,29
22464,2
29547,17
2885,19
58713,19
51522,1
44099,1
53230,19
43313,25
62546,29
21808,19
18519,7
40629,25
12110,7
39652,27
46958,27
46640,13
41608,19
34380,17
7519,2
55669,13
29259,1
39301,17
58384,13
30872,17
38316,25
46377,19
41236,13
28566,17
31964,25
27536,17
15207,17
58925,1
50734,2
58398,13
53392,2
6016,2
34665,25
39000,17
12593,17
65548,1
54764,13
56472,19
67218,27
9128,19
26566,2
49766,25
5994,2
35648,1
29686,7
53642,1
56384,2
66175,27
58753,19
30865,1
7029,19
48739,25
15815,7
46957,27
55923,27
34966,19
27520,17
18999,2
50096,19
33852,25
33955,17
66822,1
42106,13
60836,13
39946,2
66983,2
58137,1
54347,2
53906,1
56289,0
31995,19
24093,7
16172,19
62662,13
28773,29
32884,17
11813,17
35883,19
35601,17
4229,7
22346,19
7743,2
15145,29
58787,19
24165,19
38511,17
49525,19
22087,29
16339,17
2757,29
29994,27
40980,13
30687,17
20072,23
41592,29
23787,19
57681,29
34793,7
14896,17
58811,19
33634,29
30507,7
58699,29
40613,2
26043,17
34053,29
26482,19
40319,25
66763,29
9626,19
47524,2
18478,29
50602,13
6034,2
17180,29
12457,19
38094,2
25584,29
59877,27
50918,1
56818,13
18479,7
47597,19
4801,2
57678,13
36162,1
36778,17
61793,1
66294,1
31502,17
34182,25
44251,29
35348,21
88,2
65605,27
25400,19
9842,29
31767,17
41083,19
67553,2
15039,7
19809,29
16657,19
54825,19
24847,17
65756,13
55074,29
39150,19
47192,2
9932,7
45864,29
39031,27
54281,13
46291,19
27229,17
14054,2
7161,7
6348,29
62678,27
26182,17
8506,2
43760,29
61039,19
23976,17
34589,29
39231,19
128,7
5662,29
45285,25
7748,19
62900,1
39066,7
7318,2
7615,19
67305,1
28877,17
8445,29
30821,25
42258,19
42390,13
39953,2
30613,17
40189,13
49943,2
51304,19
64773,27
48369,19
21633,19
30547,29
5982,29
38246,17
9661,17
39824,17
19382,29
38296,7
64016,19
6430,17
1162,19
29988,25
17902,2
21828,7
8341,2
36752,2
28838,17
48970,17
61660,1
62029,27
23272,7
8063,29
8454,19
60925,19
25199,19
564,7
33815,19
26575,17
18938,17
10029,2
17825,17
34035,21
9639,29
21347,17
50218,2
17554,17
51025,2
49034,2
20870,19
54811,29
63263,27
14644,17
59460,25
63323,27
16422,2
40759,1
34156,19
50751,2
42164,29
27997,25
27715,19
54583,19
58385,13
39473,25
9841,29
48294,13
44742,2
49288,19
62182,29
12248,19
5491,2
12635,17
5047,2
47119,2
33994,7
8740,2
51523,1
13216,29
13352,17
61950,19
50268,27
27965,29
65592,13
43706,17
4869,19
46941,19
20401,29
27023,19
41165,27
30882,25
28654,25
50382,2
68140,13
64760,13
26344,29
1213,17
280,10
47867,2
6148,19
44708,19
26294,2
15644,2
38388,13
42925,19
6948,7
49399,19
14069,19
34358,23
14117,17
9731,29
44430,27
37053,13
15241,17
61198,13
48498,13
49207,19
47189,19
60572,19
54260,27
37357,19
12899,17
39320,25
21339,17
40043,19
5130,2
38567,7
24706,7
39665,19
8363,19
2691,2
54578,1
41309,9
31043,7
48112,19
63429,19
44503,27
46014,19
267,29
65966,13
52901,2
1836,2
60582,19
17758,19
21758,7
46373,13
28895,7
47834,9
23602,7
17761,19
50864,13
7110,19
55624,2
28995,1
58217,19
1285,2
54741,1
22088,7
7677,7
16329,7
31963,25
60951,2
35174,17
18713,2
51211,2
30599,2
31064,21
37312,17
33778,19
41221,17
4884,19
8018,7
37205,7
58073,2
16816,19
43402,2
44312,17
23273,7
55522,19
8425,7
32732,19
34921,25
28935,25
62169,13
24679,1
57805,19
3288,7
64597,27
64249,19
31690,29
54548,19
23520,19
12387,7
61411,19
47726,2
27789,17
27267,17
21279,2
65647,13
9817,29
15811,7
35387,29
47876,2
7355,19
52840,27
26112,23
19723,17
