index,cluster
0,21
1,44
2,13
3,21
4,44
5,44
6,13
7,13
8,13
9,44
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,12
23,24
24,5
25,5
26,12
27,38
28,21
29,21
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,13
65,13
66,13
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,13
89,13
90,13
91,13
92,13
93,13
94,13
95,13
96,13
97,13
98,13
99,13
100,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,13
136,13
137,13
138,13
139,13
140,13
141,21
142,13
143,13
144,13
145,13
146,13
147,13
148,13
149,13
150,13
151,13
152,13
153,13
154,13
155,13
156,13
157,13
158,13
159,13
160,13
161,13
162,13
163,13
164,13
165,13
166,13
167,13
168,13
169,13
170,13
171,13
172,13
173,21
174,13
175,13
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,13
196,13
197,13
198,13
199,13
200,13
201,13
202,13
203,13
204,13
205,21
206,21
207,13
208,13
209,13
210,13
211,13
212,13
213,13
214,13
215,13
216,13
217,13
218,13
219,13
220,13
221,13
222,13
223,13
224,13
225,13
226,13
227,13
228,13
229,13
230,13
231,13
232,13
233,13
234,13
235,13
236,13
237,2
238,2
239,5
240,13
241,13
242,13
243,13
244,13
245,13
246,13
247,13
248,13
249,13
250,13
251,13
252,13
253,13
254,13
255,13
256,13
257,13
258,13
259,13
260,13
261,13
262,13
263,13
264,13
265,13
266,13
267,13
268,13
269,5
270,5
271,5
272,13
273,13
274,13
275,13
276,13
277,13
278,13
279,13
280,13
281,13
282,13
283,13
284,13
285,13
286,13
287,13
288,13
289,13
290,13
291,13
292,13
293,13
294,13
295,13
296,13
297,13
298,13
299,21
300,13
301,13
302,5
303,5
304,13
305,21
306,21
307,13
308,13
309,13
310,13
311,13
312,13
313,13
314,13
315,13
316,13
317,13
318,13
319,13
320,13
321,13
322,13
323,13
324,13
325,13
326,13
327,13
328,13
329,21
330,13
331,21
332,21
333,13
334,13
335,13
336,5
337,10
338,5
339,13
340,13
341,31
342,4
343,21
344,13
345,13
346,21
347,13
348,13
349,13
350,13
351,13
352,13
353,13
354,13
355,13
356,13
357,13
358,13
359,13
360,13
361,13
362,4
363,5
364,13
365,21
366,13
367,44
368,5
369,2
370,5
371,5
372,21
373,13
374,13
375,13
376,13
377,21
378,13
379,13
380,13
381,13
382,13
383,13
384,13
385,13
386,13
387,44
388,30
389,44
390,5
391,5
392,9
393,5
394,5
395,2
396,44
397,13
398,13
399,13
400,13
401,13
402,13
403,13
404,13
405,13
406,13
407,24
408,5
409,2
410,48
411,19
412,5
413,13
414,34
415,47
416,31
417,13
418,13
419,2
420,19
421,9
422,19
423,2
424,19
425,2
426,19
427,5
428,5
429,5
430,5
431,38
432,5
433,9
434,38
435,38
436,38
437,5
438,5
439,5
440,5
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,27
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,27
464,5
465,5
466,5
467,5
468,5
469,27
470,5
471,5
472,5
473,5
474,5
475,27
476,27
477,27
478,27
479,5
480,27
481,27
482,27
483,5
484,5
485,27
486,27
487,5
488,27
489,27
490,27
491,27
492,27
493,27
494,27
495,5
496,27
497,5
498,27
499,27
500,27
501,27
502,27
503,27
504,27
505,27
506,27
507,49
508,27
509,27
510,5
511,27
512,5
513,27
514,27
515,27
516,27
517,27
518,27
519,27
520,5
521,5
522,27
523,5
524,5
525,5
526,49
527,27
528,49
529,27
530,5
531,27
532,27
533,27
534,5
535,27
536,27
537,27
538,5
539,27
540,27
541,5
542,27
543,27
544,27
545,49
546,27
547,27
548,27
549,27
550,27
551,27
552,27
553,5
554,27
555,5
556,49
557,5
558,5
559,27
560,27
561,27
562,5
563,27
564,27
565,27
566,49
567,27
568,27
569,27
570,27
571,27
572,27
573,27
574,5
575,27
576,27
577,27
578,27
579,27
580,27
581,27
582,27
583,27
584,27
585,27
586,5
587,49
588,27
589,27
590,27
591,27
592,27
593,5
594,27
595,27
596,27
597,27
598,27
599,27
600,27
601,27
602,27
603,27
604,27
605,27
606,27
607,5
608,27
609,27
610,27
611,27
612,27
613,27
614,27
615,27
616,5
617,5
618,27
619,27
620,27
621,27
622,27
623,27
624,27
625,27
626,27
627,27
628,27
629,27
630,27
631,27
632,5
633,27
634,27
635,27
636,49
637,5
638,27
639,27
640,49
641,49
642,49
643,27
644,49
645,49
646,27
647,27
648,27
649,27
650,27
651,27
652,27
653,27
654,5
655,5
656,5
657,5
658,5
659,27
660,5
661,5
662,49
663,27
664,27
665,49
666,49
667,49
668,49
669,49
670,49
671,27
672,27
673,27
674,27
675,5
676,27
677,5
678,5
679,5
680,27
681,27
682,27
683,27
684,27
685,27
686,27
687,27
688,27
689,49
690,49
691,49
692,27
693,27
694,27
695,27
696,27
697,27
698,5
699,5
700,5
701,5
702,27
703,27
704,27
705,27
706,27
707,27
708,27
709,27
710,49
711,49
712,27
713,27
714,49
715,27
