index,cluster
0,33
1,11
2,33
3,33
4,33
5,11
6,33
7,33
8,33
9,33
10,33
11,33
12,33
13,33
14,33
15,33
16,33
17,33
18,33
19,33
20,33
21,33
22,8
23,8
24,8
25,8
26,43
27,11
28,33
29,33
30,33
31,33
32,33
33,33
34,33
35,33
36,33
37,33
38,33
39,33
40,33
41,33
42,33
43,33
44,33
45,33
46,33
47,33
48,33
49,33
50,33
51,33
52,33
53,33
54,33
55,33
56,33
57,33
58,33
59,33
60,33
61,33
62,33
63,33
64,33
65,33
66,33
67,33
68,33
69,33
70,33
71,33
72,33
73,33
74,33
75,33
76,33
77,33
78,33
79,33
80,33
81,33
82,33
83,33
84,33
85,33
86,33
87,33
88,33
89,33
90,33
91,33
92,33
93,33
94,33
95,33
96,33
97,33
98,33
99,33
100,33
101,33
102,33
103,33
104,33
105,33
106,33
107,33
108,33
109,33
110,33
111,33
112,33
113,33
114,33
115,33
116,33
117,33
118,33
119,33
120,33
121,33
122,33
123,33
124,33
125,33
126,33
127,33
128,33
129,33
130,33
131,33
132,33
133,33
134,33
135,33
136,33
137,33
138,33
139,33
140,33
141,33
142,33
143,33
144,33
145,33
146,33
147,33
148,33
149,33
150,33
151,33
152,33
153,33
154,33
155,33
156,33
157,33
158,33
159,33
160,33
161,33
162,33
163,33
164,33
165,33
166,33
167,33
168,33
169,33
170,33
171,33
172,33
173,33
174,33
175,33
176,33
177,33
178,33
179,33
180,33
181,33
182,33
183,33
184,33
185,33
186,33
187,33
188,33
189,33
190,33
191,33
192,33
193,33
194,33
195,33
196,33
197,33
198,33
199,33
200,33
201,33
202,33
203,33
204,33
205,33
206,33
207,33
208,33
209,33
210,33
211,33
212,33
213,33
214,33
215,33
216,33
217,33
218,33
219,33
220,33
221,33
222,33
223,33
224,33
225,33
226,33
227,33
228,33
229,33
230,33
231,33
232,33
233,33
234,33
235,33
236,33
237,8
238,11
239,11
240,33
241,33
242,33
243,33
244,33
245,33
246,33
247,33
248,33
249,33
250,33
251,33
252,33
253,33
254,33
255,33
256,33
257,33
258,33
259,33
260,33
261,33
262,33
263,33
264,33
265,33
266,33
267,33
268,33
269,43
270,46
271,8
272,11
273,33
274,33
275,33
276,33
277,33
278,33
279,33
280,33
281,33
282,33
283,33
284,33
285,33
286,33
287,33
288,33
289,33
290,33
291,33
292,33
293,33
294,33
295,33
296,33
297,33
298,33
299,33
300,33
301,33
302,46
303,8
304,11
305,33
306,33
307,33
308,33
309,33
310,33
311,33
312,33
313,33
314,33
315,33
316,33
317,33
318,33
319,33
320,33
321,33
322,33
323,33
324,33
325,33
326,33
327,33
328,33
329,33
330,33
331,33
332,33
333,33
334,33
335,33
336,46
337,8
338,11
339,11
340,11
341,11
342,11
343,11
344,11
345,33
346,33
347,33
348,33
349,33
350,33
351,33
352,33
353,33
354,33
355,33
356,33
357,33
358,33
359,33
360,33
361,33
362,33
363,33
364,11
365,33
366,33
367,33
368,8
369,8
370,8
371,11
372,11
373,33
374,33
375,33
376,33
377,33
378,33
379,33
380,33
381,33
382,33
383,33
384,33
385,33
386,33
387,33
388,11
389,11
390,11
391,11
392,11
393,11
394,43
395,8
396,11
397,48
398,33
399,33
400,33
401,33
402,33
403,33
404,33
405,33
406,33
407,11
408,8
409,8
410,11
411,11
412,8
413,11
414,11
415,11
416,11
417,11
418,33
419,43
420,8
421,8
422,8
423,43
424,43
425,8
426,8
427,8
428,43
429,43
430,43
431,43
432,43
433,43
434,48
435,43
436,14
437,46
438,46
439,46
440,46
441,46
442,46
443,46
444,46
445,46
446,46
447,46
448,46
449,46
450,46
451,46
452,46
453,46
454,46
455,46
456,46
457,46
458,46
459,46
460,46
461,46
462,46
463,4
464,4
465,4
466,4
467,4
468,46
469,46
470,46
471,46
472,46
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,46
481,46
482,46
483,46
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,46
493,46
494,46
495,4
496,37
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,46
506,4
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,46
520,46
521,4
522,4
523,4
524,4
525,4
526,37
527,4
528,37
529,4
530,4
531,4
532,4
533,4
534,4
535,46
536,46
537,4
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,37
546,4
547,4
548,4
549,4
550,4
551,4
552,46
553,46
554,46
555,4
556,37
557,4
558,4
559,4
560,4
561,4
562,37
563,4
564,4
565,4
566,37
567,4
568,4
569,4
570,4
571,46
572,46
573,46
574,4
575,4
576,4
577,4
578,37
579,37
580,37
581,37
582,37
583,37
584,4
585,4
586,4
587,37
588,4
589,4
590,4
591,4
592,4
593,46
594,37
595,37
596,37
597,37
598,37
599,37
600,37
601,37
602,37
603,37
604,37
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,46
613,46
614,46
615,4
616,4
617,4
618,4
619,37
620,37
621,37
622,37
623,37
624,37
625,37
626,37
627,37
628,37
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,46
638,4
639,37
640,4
641,37
642,4
643,37
644,37
645,37
646,37
647,37
648,37
649,37
650,37
651,4
652,4
653,4
654,37
655,4
656,4
657,46
658,46
659,4
660,4
661,4
662,4
663,4
664,4
665,4
666,37
667,37
668,37
669,37
670,37
671,37
672,37
673,37
674,4
675,4
676,4
677,4
678,4
679,46
680,46
681,4
682,4
683,4
684,37
685,4
686,4
687,4
688,4
689,4
690,37
691,37
692,37
693,37
694,37
695,37
696,4
697,4
698,4
699,4
700,46
701,46
702,4
703,37
704,37
705,37
706,4
707,4
708,4
709,37
710,37
711,37
712,37
713,37
714,37
715,4
716,4
717,4
718,4
719,4
720,46
721,46
722,4
723,4
724,4
725,37
726,37
727,37
728,4
729,4
730,37
731,4
732,37
733,37
734,37
735,37
736,37
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,37
755,37
756,37
757,37
758,4
759,4
760,4
761,37
762,4
763,4
764,46
765,4
766,46
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,37
779,37
780,37
781,4
782,37
783,4
784,4
785,4
786,46
787,4
788,4
789,37
790,4
791,4
792,37
793,4
794,4
795,4
796,37
797,37
798,4
799,37
800,37
801,37
802,37
803,4
804,4
805,4
806,4
807,4
808,4
809,46
810,4
811,37
812,4
813,4
814,4
815,4
816,4
817,37
818,4
819,4
820,37
821,4
822,37
823,4
824,4
825,4
826,4
827,4
828,4
829,4
830,4
831,4
832,4
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,37
841,37
842,37
843,37
844,4
845,37
846,4
847,4
848,4
849,4
850,4
851,4
852,4
853,4
854,4
855,4
856,4
857,4
858,4
859,37
860,37
861,4
862,4
863,4
864,4
865,4
866,4
867,4
868,46
869,4
870,4
871,8
872,8
873,43
874,43
875,8
876,43
877,43
878,43
879,43
880,33
881,33
882,33
883,46
884,46
885,46
886,46
887,46
888,46
889,46
890,46
891,46
892,46
893,46
894,46
895,46
896,46
897,46
898,46
899,46
900,46
901,46
902,46
903,46
904,46
905,46
906,46
907,46
908,46
909,33
910,46
911,46
912,46
913,46
914,46
915,46
916,46
917,46
918,46
919,33
920,33
921,33
922,33
923,46
924,46
925,46
926,46
927,46
928,46
929,46
930,46
931,46
932,33
933,33
934,11
935,11
936,46
937,46
938,46
939,46
940,46
941,46
942,46
943,46
944,11
945,8
946,43
947,43
948,46
949,46
950,46
951,46
952,46
953,46
954,46
955,46
956,43
957,43
958,46
959,46
960,46
961,46
962,46
963,46
964,46
965,46
966,46
967,46
968,46
969,46
970,46
971,46
972,46
973,46
974,46
975,46
976,46
977,43
978,46
979,43
980,43
981,46
982,46
983,46
984,46
985,46
986,43
987,46
988,43
989,46
990,46
991,46
992,46
993,46
994,46
995,46
996,46
997,46
998,46
999,48
1000,48
1001,33
1002,33
1003,33
1004,33
1005,48
1006,33
1007,33
1008,33
1009,33
1010,33
1011,33
1012,48
1013,33
1014,33
1015,33
1016,33
1017,33
1018,33
1019,33
1020,33
1021,33
1022,33
1023,33
1024,33
1025,33
1026,33
1027,33
1028,33
1029,33
1030,33
1031,33
1032,33
1033,33
1034,33
1035,33
1036,33
1037,33
1038,33
1039,33
1040,33
1041,33
1042,33
1043,33
1044,33
1045,33
1046,46
1047,46
1048,46
1049,33
1050,33
1051,43
1052,8
1053,43
1054,46
1055,46
1056,46
1057,8
1058,8
1059,46
1060,43
1061,43
1062,43
1063,43
1064,46
1065,11
1066,11
1067,46
1068,46
1069,46
1070,46
1071,46
1072,46
1073,46
1074,46
1075,46
1076,46
1077,46
1078,46
